"Dataset Id","Dataset Name","Group","Polarity","Source","Analyzer","Matrix","Species","Kingdom","Sample Type","m/z Class"
"2023-08-15_00h12m25s","07_02_mc_RKS_pos_highmass_2","PNNL","Positive","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-08-09_18h17m20s","MPIMM_338_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","CHCA","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2023-07-10_21h19m06s","MC_4-aepba_01","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-08-03_23h41m12s","07_02_mc_pos_highmass","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-08-03_17h48m28s","S-2206-008003_12_S3_SM_Neg_20230726_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-08-03_16h56m49s","S-2107-015182_12_S3_SM_Neg_20230726_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-08-03_16h26m31s","Ref-S-2210-005019_1_S3_SM_Neg_20230726_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-08-03_02h08m40s","s-2304-011712_4_s2_lip_neg_071423_bg","PNNL","Negative","MALDI","FTICR","NEDC","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-08-02_23h40m05s","8_03_n-root mean square","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-08-02_23h39m41s","8_01_n-root mean square","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-08-02_23h37m41s","10_02_r-root mean square","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-08-01_01h42m44s","s-2304-011725_5_s2_lip_neg_070723_bg","PNNL","Negative","MALDI","FTICR","NEDC","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-07-27_08h46m50s","MPIMM_333_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","Norharmane","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2023-07-26_19h38m49s","16_03_r","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-07-26_19h38m11s","16_01_r","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-07-26_19h37m51s","14_03_r","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-07-26_19h27m02s","16_03_n","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-07-25_13h27m14s","QEHF1_CC47_MouseKidney_A42-5_25um_288X383_3-5kv","ISAS-Lipidomics","Positive","MALDI","Orbitrap","DHB","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-15_19h07m37s","11092022_meredith_slide1","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-07-20_12h22m29s","QEHF1_CC46_MouseBrain_A42-5_10um_60x60_3-5kV","ISAS-Lipidomics","Positive","MALDI","Orbitrap","DHB","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2023-07-20_12h21m52s","QEHF1_CC46_MouseBrain_A42-5_5um_60x60_3-5kV","ISAS-Lipidomics","Positive","MALDI","Orbitrap","DHB","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2023-01-17_17h36m02s","20230112_rks_meredith_positive","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-02-07_02h05m19s","2023_02_01_rks_meredith_nedc","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-07-19_11h29m39s","QEHF1_MW01_MouseBrain_A42-5_50um_130x229_3-5kV","ISAS-Lipidomics","Positive","MALDI","Orbitrap","DHB","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2023-07-18_11h56m13s","QEHF1_CC44_MouseBrain_A42-5_10um_60x60_3-5kV","ISAS-Lipidomics","Positive","MALDI","Orbitrap","DHB","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2023-07-17_17h36m49s","QEHF1_CC44_MouseBrain_A42-5_60x60_3-5kV","ISAS-Lipidomics","Positive","MALDI","Orbitrap","DHB","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2023-07-14_19h23m02s","20230703_dv_medicago_buff_fungy_pos_lipids","PNNL","Positive","MALDI","FTICR","DHB","OTHER","Plant","Tissue","Lipids_and_small_moleclues"
"2023-07-13_17h20m05s","s-2304-011725_3_s1_lip_pos_070723_bg","PNNL","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-07-13_09h06m25s","MPIMM_323_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2023-07-12_10h05m29s","QEHF1_CC43_MouseBrain_A42-5_50um_209X246_3-5kv","ISAS-Lipidomics","Positive","MALDI","Orbitrap","DHB","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2019-06-21_08h59m52s","MPIMM_154_QE_P_SGR_CF","MPI Bremen","Positive","MALDI","Orbitrap","DHAP","OTHER","Plant","Uncurated","Lipids_and_small_moleclues"
"2023-07-10_19h19m37s","topd6#3-root mean square","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2023-07-10_19h15m10s","topce5#2-root mean square","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2023-07-10_19h13m35s","topc6#2-root mean square","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2023-07-10_19h08m06s","midce5#3-root mean square","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2023-07-10_19h05m05s","midc4#2-root mean square","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2023-07-10_19h02m39s","midc1#2-root mean square","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2023-07-01_01h50m22s","8pass_02_pos","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-06-27_23h40m04s","lung_13b3_1_lip_neg_230622_bg","PNNL","Negative","MALDI","FTICR","NEDC","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-06-27_22h59m29s","lung_11a2_3_lip_pos_230622_bg","PNNL","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-06-27_00h53m06s","s-2304-011721_4_s1_lip_pos_061923_bg","PNNL","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-06-27_00h52m52s","s-2304-011721_3_s1_lip_pos_061923_bg","PNNL","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-06-27_00h52m18s","s-2304-011719_5_s1_lip_pos_061923_bg","PNNL","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-06-27_00h28m49s","s-2304-011721_3_s2_lip_neg_061623_bg","PNNL","Negative","MALDI","FTICR","NEDC","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-06-22_22h48m28s","20230620_sorghum_root_chca_dma_pos_25um","PNNL","Positive","MALDI","FTICR","CHCA","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-06-22_22h38m10s","20230622_root_nedc_neg","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-06-22_22h26m35s","20230622_root_chca_dma_neg","PNNL","Negative","MALDI","FTICR","CHCA","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-06-22_22h16m50s","20230622_nodule_2_dhb_pos","PNNL","Positive","MALDI","FTICR","DHB","Glycine max","Plant","Tissue","Lipids_and_small_moleclues"
"2023-02-07_01h27m59s","2023_02_02_rks_meredith_4apeba","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-06-16_21h45m45s","soybean_nodule_1_chca_dma_pos","PNNL","Positive","MALDI","FTICR","CHCA","Glycine max","Plant","Tissue","Lipids_and_small_moleclues"
"2023-06-16_17h03m54s","Mimetic_2_S3_SM_Neg_20230615_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-06-15_19h39m00s","s-2304-011728_3_s1_lip_neg_060123_bg","PNNL","Negative","MALDI","FTICR","NEDC","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-06-15_19h37m38s","s-2304-011726_1_s1_lip_neg_060123_bg","PNNL","Negative","MALDI","FTICR","NEDC","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-06-14_22h50m06s","Mimetic_2_S3_SM_Neg_20230613_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-06-13_00h44m33s","chca_sorghum_root_pos","PNNL","Positive","MALDI","FTICR","CHCA","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-06-13_00h43m39s","chca_sorghum_dma_root_pos","PNNL","Positive","MALDI","FTICR","CHCA","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-06-12_16h53m43s","BVIII-9-Kidney_3_S3_SM_Neg_20230609_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2023-06-05_19h56m34s","B6-Ctrl12w-f4_6_S3_SM_Neg_20230522_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2023-06-01_15h42m28s","20230531_355x550_30um_Tumeur 21T #11_DAN H2780_Neg_mode_67-1005mz_70K_Laser39_6KV_350C_Slens90-1","MALDI-MSI-UB","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Uncurated","Lipids_and_small_moleclues"
"2023-05-31_10h36m41s","20230525_234x233_30um_Tumeur 21T #x_DAN_Neg_mode_67-1005mz_70K_Laser39_6KV_350C_Slens90","MALDI-MSI-UB","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Uncurated","Lipids_and_small_moleclues"
"2023-05-31_10h34m50s","20230530_264x702_25um_Tumeur 21T #12_DAN HCL H2O80_Neg_mode_67-1005mz_70K_Laser39_6KV_350C_Slens90","MALDI-MSI-UB","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Uncurated","Lipids_and_small_moleclues"
"2023-05-24_10h15m21s","20230523_428x500_7um_GM3#2_DAN_Neg_mode_67-1005mz_70K_Laser39_5KV_350C_Slens90","MALDI-MSI-UB","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Uncurated","Lipids_and_small_moleclues"
"2023-05-23_20h48m07s","230510_lung_test_11a4_lip_neg_bg_02","PNNL","Negative","MALDI","FTICR","NEDC","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-05-02_09h37m03s","2023-05-01_S4_1_DAN_NEG_340x95_pixel mode_36atn_pxl25um_50uLmin","U Copenhagen","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2023-05-02_03h57m38s","2023_04_26_rks_slide2_dhb_low","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-05-02_02h13m40s","2023_04_24_rks_maleksubset_slide1_dhb","PNNL","Positive","MALDI","FTICR","DHB","OTHER","Plant","Tissue","Lipids_and_small_moleclues"
"2023-04-21_13h44m01s","230420_MouseKidney_test03_DHB_20um_A35_3kV_256x339_2Dpixel","ISAS-Lipidomics","Positive","MALDI","Orbitrap","DHB","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2023-04-03_08h14m42s","MALDI_kidney_2","None","Negative","MALDI","Orbitrap","NEDC","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2023-04-03_08h11m55s","MALDI_kidney_1","None","Negative","MALDI","Orbitrap","NEDC","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2023-04-09_10h56m51s","20230203_IM2_TC1_01","U Copenhagen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Whole Organism","Lipids_and_small_moleclues"
"2023-04-09_10h38m30s","20230203_IM2_T2_01","U Copenhagen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Whole Organism","Lipids_and_small_moleclues"
"2023-04-09_10h14m51s","20230201_IM2_1a_01","U Copenhagen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Whole Organism","Lipids_and_small_moleclues"
"2023-04-04_08h03m35s","LV89 MALDI","None","Negative","MALDI","Orbitrap","NEDC","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2023-03-28_20h55m56s","230317_kidney_thickness_test_lip_neg_s2_bg_5um_02","PNNL","Negative","MALDI","FTICR","NEDC","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-03-28_09h11m29s","MPIMM_314_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Uncurated","Lipids_and_small_moleclues"
"2023-03-26_00h48m16s","rks_spraytemp_80c_dhb","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-03-26_00h21m23s","rks_spraytemp_70c_dhb","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-03-25_21h09m05s","rks_stagetemp_25c_14passes_nedc","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-03-25_21h07m08s","rks_stagetemp_25c_12passes_nedc","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-03-25_21h03m13s","rks_stagetemp_40c_10passes_nedc","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-03-25_20h49m31s","rks_passes_8_dhb","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-03-25_20h48m50s","rks_passes_14_nedc","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-03-25_05h07m49s","rks_size_20um_dhb","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-03-25_05h10m51s","rks_size_50um_dhb","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-03-25_05h06m42s","rks_size_50um_nedc","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-03-23_19h46m57s","rks_size_30um_nedc","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-03-21_14h20m13s","MPIMM_312_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Whole Organism","Lipids_and_small_moleclues"
"2023-03-21_09h20m28s","MPIMM_308_QE_P","MPI Bremen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Whole Organism","Lipids_and_small_moleclues"
"2023-03-08_20h11m08s","2023_02_21_rks_size_slide2_dhb","PNNL","Positive","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-03-08_20h07m14s","2023_rks_size_slide1_nedc","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-02-22_08h48m24s","2023-02-21_SCC_583_2_Gr4_T3_DAN_NEG_238x122_line mode_35atn_pxl50um_50uLmin","U Copenhagen","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2019-10-07_11h04m55s","Danaus_#18_60um_203x596_20E","JLU Giessen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Whole Organism","Lipids_and_small_moleclues"
"2019-10-07_11h08m41s","Figure 2 - E. core","JLU Giessen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Whole Organism","Lipids_and_small_moleclues"
"2019-06-17_15h58m32s","Figure 1 - D. plexippus","JLU Giessen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2019-07-24_10h52m19s","Danaus#9","JLU Giessen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Whole Organism","Lipids_and_small_moleclues"
"2019-07-01_13h26m46s","Figure 3 - D. plexippus","JLU Giessen","Positive","MALDI","Orbitrap","DHB","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2023-02-09_00h16m06s","s-2203-008790_6_s2_lip_pos_20230203_bg","PNNL","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-02-07_02h30m40s","2022_01_20_rks_mc_slide2_nedc","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2023-01-25_02h39m43s","230117_lung_10b4_lip_pos_m1_bg_02a","PNNL","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2023-01-21_00h16m14s","t1_mid_c4#1","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2023-01-17_17h47m30s","2023_01_11_rks_slide_1_matrixtest_dhb","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-12-28_23h58m37s","hpmc_peo#2_neg","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-12-28_23h57m10s","hpc_pvp#1_neg","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-12-28_23h56m39s","hec(720k)_pvp#2_neg","PNNL","Negative","MALDI","FTICR","NEDC","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-12-22_09h16m37s","2022-12-21_SCC_254_6_DAN_NEG_401x196_line scan_38atn_pxl40um","U Copenhagen","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2022-12-21_01h48m39s","hpmc_pvp#2","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-12-21_01h42m26s","hpmc_peo#1","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-12-21_01h41m53s","hpc_pvp#2","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-12-21_01h39m44s","hec(90k)_pvp#2","PNNL","Positive","MALDI","FTICR","DHB","Populus","Plant","Tissue","Lipids_and_small_moleclues"
"2022-12-07_01h56m07s","pnnl024-3_3_s1_lip_pos_20221202_bg","PNNL","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-12-05_05h40m28s","control_p8","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-12-05_05h38m30s","nitrate_p8","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-12-05_05h37m10s","control_p11","PNNL","Negative","MALDI","FTICR","NEDC","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-12-01_19h17m24s","221129_lung_bg_ab_pos_72_1a","PNNL","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-30_17h25m27s","220913_MALDI_NEG_DDA_section3_2022-11-30T16-37-57","M4I","Negative","MALDI","Orbitrap","NEDC","Mus musculus","Animal","Uncurated","Lipids_and_small_moleclues"
"2022-11-21_23h39m11s","Liver-Norton_Mimetic1_S3_SM_Neg_20221107_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-21_05h28m01s","Grevillea robusta old flower","None","Positive","MALDI","FTICR","DHB","OTHER","Plant","Tissue","Lipids_and_small_moleclues"
"2019-06-25_18h26m32s","MPIMM_163_QE_P_Bputeo_2µm","MPI Bremen","Positive","MALDI","Orbitrap","DHAP","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-20_02h29m14s","Grevillea robusta old flower ovary","None","Positive","MALDI","FTICR","DHB","OTHER","Plant","Tissue","Lipids_and_small_moleclues"
"2022-11-20_02h03m16s","Hakea bucculenta rachis","None","Positive","MALDI","FTICR","DHB","OTHER","Plant","Tissue","Lipids_and_small_moleclues"
"2022-11-18_18h49m42s","783_S1_3_30um_07212021_C","UTHSA","Positive","MALDI","Orbitrap","DHB","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-18_18h17m02s","1356_S1_2_30um_12162020_c","UTHSA","Positive","MALDI","Orbitrap","DHB","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-18_18h10m27s","3811_S1_3_03012021_c","UTHSA","Positive","MALDI","Orbitrap","DHB","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-18_18h16m37s","1356_S1_1_30um_12162020_c","UTHSA","Positive","MALDI","Orbitrap","DHB","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-18_18h01m53s","3811_S1_1_03012021_c","UTHSA","Positive","MALDI","Orbitrap","DHB","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-18_17h43m44s","1490_S1_3_03012021_c","UTHSA","Positive","MALDI","Orbitrap","DHB","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2020-09-21_22h18m26s","20200918_jl_lungmap_test_baylor_slide3_2","PNNL","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-15_01h49m33s","221108_kidney_bg_pos_k1_s8","PNNL","Positive","MALDI","FTICR","DHB","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-15_01h33m11s","221109_kidney_bg_neg_k2_s9","PNNL","Negative","MALDI","FTICR","NEDC","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-09_14h47m34s","c_16_tissue","MPI Bremen","Positive","MALDI","FTICR","HCCA","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-09_14h42m24s","c_07_tissue","MPI Bremen","Positive","MALDI","FTICR","HCCA","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-09_14h28m35s","b_16_tissue","MPI Bremen","Positive","MALDI","FTICR","HCCA","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-09_14h16m42s","b_03_tissue","MPI Bremen","Positive","MALDI","FTICR","HCCA","OTHER","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-07_17h32m15s","Mimetic2_S1_SM_Neg_20221101_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-07_17h26m45s","10um_1_S1_SM_Neg_20221101_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-11-07_17h20m49s","7um_1_S1_SM_Neg_20221101_IT","UTHSA","Negative","MALDI","Orbitrap","DAN","Mus musculus","Animal","Tissue","Lipids_and_small_moleclues"
"2022-09-15_23h37m06s","Nodule_0cycles_APEBA_50%MeOH_DHB","PNNL","Positive","MALDI","FTICR","DHB","Glycine max","Plant","Tissue","Lipids_and_small_moleclues"
"2022-10-31_21h22m00s","20221026_mc_test_1","PNNL","Positive","MALDI","FTICR","DHB","Sorghum","Plant","Tissue","Lipids_and_small_moleclues"
"2022-10-31_21h38m17s","RCC_17-635-29_T1_30um_S3_20200828","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-10-27_00h36m31s","S-2007-003854_6_S3_SM_Neg_20221019_GZ","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
"2022-10-26_23h00m08s","S-2007-003152_S-2007-003854_S-2007-004181_Mimetic1_S3_SM_Neg_20221019_GZ","UTHSA","Negative","MALDI","Orbitrap","DAN","Homo sapiens","Animal","Tissue","Lipids_and_small_moleclues"
